Country;Region;Happiness Rank;Happiness Score;Lower Confidence Interval;Upper Confidence Interval;Economy (GDP per Capita);Family;Health (Life Expectancy);Freedom;Trust (Government Corruption);Generosity;Dystopia Residual;nativity;migration;health_expend;educ_expend;gdp;taxes;budget;milit
Niger;Sub-Saharan Africa;142;3.856;3.781;3.931;0.1327;0.6053;0.26162;0.38041;0.17176;0.2097;2.09469;44.8;-0.5;5.8;6.8;1100.0;23.7;-9.1;1.06
South Sudan;Sub-Saharan Africa;143;3.832;3.596;4.068;0.39394;0.18519;0.15781;0.19662;0.13015;0.25899;2.50929;36.2;11.0;2.7;0.8;2000.0;16.6;-69.4;10.32
Chad;Sub-Saharan Africa;144;3.763;3.672;3.854;0.42214;0.63178;0.03824;0.12807;0.04952;0.18667;2.30637;36.1;-3.3;3.6;2.9;2600.0;14.0;-4.7;
Burkina Faso;Sub-Saharan Africa;145;3.739;3.647;3.831;0.31995;0.63054;0.21297;0.3337;0.12533;0.24353;1.87319;41.6;0.0;5.0;4.5;1700.0;19.6;-2.1;1.39
Uganda;Sub-Saharan Africa;145;3.739;3.629;3.849;0.34719;0.90981;0.19625;0.43653;0.06442;0.27102;1.51416;43.4;-0.7;7.2;2.2;2000.0;13.8;-4.2;2.2
Yemen;Middle East and Northern Africa;147;3.724;3.621;3.827;0.57939;0.47493;0.31048;0.2287;0.05892;0.09821;1.97295;29.2;0.7;5.6;4.6;2700.0;8.4;-9.8;4.02
Madagascar;Sub-Saharan Africa;148;3.695;3.621;3.769;0.27954;0.46115;0.37109;0.13684;0.07506;0.2204;2.15075;32.1;0.0;3.0;2.1;1500.0;11.8;-5.2;0.69
Tanzania;Sub-Saharan Africa;149;3.666;3.561;3.771;0.47155;0.77623;0.357;0.3176;0.05099;0.31472;1.37769;36.0;-0.5;5.6;3.5;2900.0;13.4;-2.9;1.13
Liberia;Sub-Saharan Africa;150;3.622;3.463;3.781;0.10706;0.50353;0.23165;0.25748;0.04852;0.24063;2.23284;33.9;0.0;10.0;2.8;900.0;33.8;-6.1;0.82
Guinea;Sub-Saharan Africa;151;3.607;3.533;3.681;0.22415;0.3109;0.18829;0.30953;0.1192;0.29914;2.15604;35.4;0.0;5.6;3.5;1200.0;19.5;-9.1;
Rwanda;Sub-Saharan Africa;152;3.515;3.444;3.586;0.32846;0.61586;0.31865;0.5432;0.50521;0.23552;0.96819;33.3;0.8;7.5;5.0;1800.0;23.8;-5.1;1.12
Benin;Sub-Saharan Africa;153;3.484;3.404;3.564;0.39499;0.10419;0.21028;0.39747;0.06681;0.2018;2.10812;35.5;0.0;4.6;4.4;2100.0;17.4;-6.4;1.03
Afghanistan;Southern Asia;154;3.36;3.288;3.432;0.38227;0.11037;0.17344;0.1643;0.07112;0.31268;2.14558;38.3;-1.2;8.2;;1900.0;8.2;-23.7;28.09
Togo;Sub-Saharan Africa;155;3.303;3.192;3.414;0.28123;0.0;0.24811;0.34678;0.11587;0.17517;2.1354;33.7;0.0;5.2;4.8;1500.0;25.5;-5.7;
Syria;Middle East and Northern Africa;156;3.069;2.936;3.202;0.74719;0.14866;0.62994;0.06912;0.17233;0.48397;0.81789;21.7;-2.1;3.3;5.1;5100.0;15.9;-7.3;
Burundi;Sub-Saharan Africa;157;2.905;2.732;3.078;0.06831;0.23442;0.15747;0.0432;0.09419;0.2029;2.10404;41.7;0.0;7.5;5.4;800.0;25.7;-5.6;2.39
