Country;Regional indicator;Happiness Score;Standard error of ladder score;upperwhisker;lowerwhisker;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;Ladder score in Dystopia;Explained by: Log GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;Dystopia + residual;nativity;migration;health_expend;educ_expend;gdp;taxes;budget;milit
Burkina Faso;Sub-Saharan Africa;4.834;0.081;4.993;4.675;7.678;0.672;54.151;0.695;-0.009;0.748;2.43;0.364;0.472;0.179;0.381;0.182;0.122;3.133;34.34;-0.62;5.6;5.8;2200.0;21.2;-7.9;2.5
Cambodia;Southeast Asia;4.83;0.067;4.963;4.698;8.36;0.765;62.0;0.959;0.034;0.843;2.43;0.603;0.68;0.426;0.702;0.21;0.061;2.148;20.84;-0.29;6.0;2.2;4200.0;17.9;-1.8;2.5
Mozambique;Sub-Saharan Africa;4.794;0.103;4.997;4.592;7.158;0.744;54.706;0.882;0.061;0.684;2.43;0.183;0.634;0.196;0.608;0.228;0.163;2.783;38.03;-1.62;8.2;6.2;1200.0;26.7;-5.6;1.0
Nigeria;Sub-Saharan Africa;4.759;0.052;4.861;4.658;8.533;0.74;50.102;0.737;0.037;0.878;2.43;0.663;0.625;0.051;0.433;0.212;0.039;2.736;34.38;-0.21;3.9;;4900.0;3.4;-1.8;0.6
Mali;Sub-Saharan Africa;4.723;0.082;4.884;4.563;7.744;0.724;51.969;0.697;-0.036;0.827;2.43;0.387;0.59;0.11;0.384;0.164;0.072;3.016;41.6;-3.17;3.9;3.4;2200.0;20.0;-2.9;3.4
Iran;Middle East and North Africa;4.721;0.055;4.828;4.614;9.584;0.71;66.3;0.608;0.218;0.714;2.43;1.03;0.557;0.561;0.275;0.33;0.144;1.823;15.78;-0.3;8.7;3.7;12400.0;17.3;-2.3;2.1
Uganda;Sub-Saharan Africa;4.636;0.073;4.78;4.493;7.677;0.781;56.101;0.709;0.122;0.855;2.43;0.364;0.718;0.24;0.398;0.267;0.054;2.596;41.6;-3.37;6.5;3.0;2200.0;14.5;-4.1;2.5
Liberia;Sub-Saharan Africa;4.625;0.106;4.833;4.417;7.288;0.72;56.498;0.735;0.05;0.85;2.43;0.228;0.58;0.253;0.43;0.221;0.057;2.857;36.96;-2.82;6.7;2.3;1400.0;16.9;-4.3;0.4
Kenya;Sub-Saharan Africa;4.607;0.072;4.747;4.466;8.361;0.688;60.704;0.779;0.287;0.825;2.43;0.603;0.508;0.385;0.483;0.375;0.073;2.18;26.78;-0.2;5.2;5.1;4200.0;17.6;-6.7;1.2
Tunisia;Middle East and North Africa;4.596;0.058;4.709;4.484;9.266;0.691;67.201;0.656;-0.201;0.87;2.43;0.919;0.515;0.59;0.334;0.057;0.044;2.138;15.21;-1.34;7.3;7.3;9700.0;24.7;-5.8;2.9
Lebanon;Middle East and North Africa;4.584;0.055;4.691;4.477;9.626;0.848;67.355;0.525;-0.073;0.898;2.43;1.045;0.868;0.595;0.175;0.14;0.026;1.736;13.35;-0.95;8.4;2.6;11600.0;21.5;-6.9;3.0
Namibia;Sub-Saharan Africa;4.574;0.064;4.7;4.448;9.161;0.818;56.799;0.719;-0.149;0.847;2.43;0.882;0.801;0.262;0.411;0.091;0.059;2.068;25.33;0.0;8.0;9.4;8900.0;32.2;-5.5;3.4
Palestinian Territories;Middle East and North Africa;4.517;0.067;4.649;4.384;8.485;0.826;62.25;0.653;-0.163;0.821;2.43;0.646;0.819;0.434;0.33;0.082;0.075;2.131;;;;;;;;
Myanmar;Southeast Asia;4.426;0.052;4.527;4.324;8.541;0.779;59.302;0.876;0.509;0.66;2.43;0.666;0.713;0.341;0.601;0.52;0.178;1.407;16.65;-1.38;4.8;2.0;4500.0;13.5;-3.2;3.0
Jordan;Middle East and North Africa;4.395;0.062;4.516;4.273;9.182;0.767;67.0;0.755;-0.167;0.705;2.43;0.89;0.685;0.583;0.455;0.079;0.15;1.553;22.79;-11.17;7.8;3.0;9800.0;23.6;-5.1;4.7
Chad;Sub-Saharan Africa;4.355;0.094;4.54;4.171;7.364;0.619;48.478;0.579;0.041;0.807;2.43;0.255;0.353;0.0;0.24;0.215;0.084;3.209;41.05;-0.13;4.1;2.4;1500.0;13.5;-1.5;2.9
Sri Lanka;South Asia;4.325;0.066;4.454;4.196;9.47;0.827;67.299;0.841;0.079;0.863;2.43;0.99;0.82;0.593;0.559;0.239;0.049;1.075;14.01;-1.24;3.8;2.1;12500.0;13.8;-5.5;2.0
Eswatini;Sub-Saharan Africa;4.308;0.071;4.448;4.168;9.065;0.77;50.833;0.647;-0.185;0.708;2.43;0.849;0.693;0.074;0.323;0.067;0.147;2.155;23.87;-6.26;6.5;5.3;8400.0;28.6;-8.5;1.8
Comoros;Sub-Saharan Africa;4.289;0.084;4.454;4.123;8.031;0.626;57.349;0.548;0.082;0.781;2.43;0.488;0.367;0.279;0.202;0.241;0.101;2.61;22.98;-2.28;4.6;2.5;3100.0;25.3;-6.5;
Egypt;Middle East and North Africa;4.283;0.045;4.371;4.195;9.367;0.75;61.998;0.749;-0.182;0.795;2.43;0.954;0.647;0.426;0.446;0.069;0.092;1.648;26.44;-0.34;5.0;3.9;12000.0;17.9;-8.6;1.2
Ethiopia;Sub-Saharan Africa;4.275;0.051;4.374;4.175;7.694;0.764;59.0;0.752;0.082;0.761;2.43;0.37;0.679;0.331;0.451;0.241;0.114;2.089;31.03;-0.2;3.3;5.1;2300.0;13.9;-3.2;0.5
Mauritania;Sub-Saharan Africa;4.227;0.07;4.365;4.09;8.542;0.795;57.161;0.561;-0.106;0.731;2.43;0.666;0.749;0.273;0.218;0.119;0.133;2.069;28.49;-0.74;4.6;1.9;5000.0;27.4;-0.8;2.5
Madagascar;Sub-Saharan Africa;4.208;0.072;4.349;4.068;7.396;0.686;59.305;0.552;-0.005;0.803;2.43;0.266;0.503;0.341;0.207;0.185;0.087;2.62;29.22;0.0;4.8;2.9;1500.0;15.9;-2.7;0.8
Togo;Sub-Saharan Africa;4.107;0.077;4.258;3.956;7.362;0.569;54.914;0.619;0.032;0.772;2.43;0.254;0.239;0.203;0.289;0.209;0.107;2.806;32.34;-1.86;6.2;5.0;2100.0;21.5;-3.8;2.0
Zambia;Sub-Saharan Africa;4.073;0.069;4.209;3.938;8.145;0.708;55.809;0.782;0.061;0.823;2.43;0.528;0.552;0.231;0.487;0.227;0.074;1.975;35.23;0.33;4.9;4.5;3300.0;17.4;-7.3;1.3
Sierra Leone;Sub-Saharan Africa;3.849;0.077;4.001;3.698;7.434;0.63;51.651;0.717;0.084;0.866;2.43;0.279;0.377;0.1;0.408;0.243;0.047;2.396;35.04;-0.96;16.1;9.3;1600.0;15.6;-7.9;0.5
India;South Asia;3.819;0.026;3.869;3.769;8.755;0.603;60.633;0.893;0.089;0.774;2.43;0.741;0.316;0.383;0.622;0.246;0.106;1.405;17.53;-0.04;3.5;3.5;6100.0;9.2;-3.5;2.6
Burundi;Sub-Saharan Africa;3.775;0.107;3.985;3.565;6.635;0.49;53.4;0.626;-0.024;0.607;2.43;0.0;0.062;0.155;0.298;0.172;0.212;2.876;35.48;7.35;7.7;5.1;700.0;15.8;-5.7;2.1
Yemen;Middle East and North Africa;3.658;0.07;3.794;3.521;7.578;0.832;57.122;0.602;-0.147;0.8;2.43;0.329;0.831;0.272;0.268;0.092;0.089;1.776;25.21;-0.19;5.6;;2500.0;9.0;-5.2;4.3
Tanzania;Sub-Saharan Africa;3.623;0.071;3.762;3.485;7.876;0.702;57.999;0.833;0.183;0.577;2.43;0.433;0.54;0.3;0.549;0.307;0.231;1.263;33.71;-0.44;3.6;3.1;2600.0;15.2;-1.8;1.3
Haiti;Latin America and Caribbean;3.615;0.173;3.953;3.276;7.477;0.54;55.7;0.593;0.422;0.721;2.43;0.294;0.173;0.227;0.257;0.463;0.139;2.06;21.4;-1.9;7.7;1.7;2800.0;18.2;-1.0;
Malawi;Sub-Saharan Africa;3.6;0.092;3.781;3.419;6.958;0.537;57.948;0.78;0.038;0.729;2.43;0.113;0.168;0.298;0.484;0.213;0.134;2.19;28.59;0.0;9.3;2.9;1500.0;21.7;-3.4;0.9
Lesotho;Sub-Saharan Africa;3.512;0.12;3.748;3.276;7.926;0.787;48.7;0.715;-0.131;0.915;2.43;0.451;0.731;0.007;0.405;0.103;0.015;1.8;23.3;-4.59;9.3;7.4;2300.0;39.7;-6.0;1.6
Botswana;Sub-Saharan Africa;3.467;0.074;3.611;3.322;9.782;0.784;59.269;0.824;-0.246;0.801;2.43;1.099;0.724;0.34;0.539;0.027;0.088;0.648;20.6;2.85;5.9;6.9;16000.0;30.5;-1.0;3.0
Rwanda;Sub-Saharan Africa;3.415;0.068;3.548;3.282;7.676;0.552;61.4;0.897;0.061;0.167;2.43;0.364;0.202;0.407;0.627;0.227;0.493;1.095;27.18;-3.27;7.5;3.4;2100.0;21.3;-4.3;1.3
Zimbabwe;Sub-Saharan Africa;3.145;0.058;3.259;3.03;7.943;0.75;56.201;0.677;-0.047;0.821;2.43;0.457;0.649;0.243;0.359;0.157;0.075;1.205;33.34;-4.93;4.7;3.6;2700.0;21.5;-9.6;0.7
Afghanistan;South Asia;2.523;0.038;2.596;2.449;7.695;0.463;52.493;0.382;-0.102;0.924;2.43;0.37;0.0;0.126;0.0;0.122;0.01;1.895;36.08;-0.1;9.4;3.2;2000.0;11.2;-15.1;1.2
